id,event_id,package_id,service_id,vibe,venue,guests,provider_id,customer_id,status,request_date,location,start_time,end_time,duration,budget,special_instructions,cancel_reasons,created_at,updated_at,rating,reviews
1000,birthday,package10090,"n,o",friends,outdoor,649,10136,10044,pending,2023-12-14t18:16:25.040622,mumbai,2023-08-08t03:48:25.040622,2023-11-25t07:21:25.040622,4,93550,no,"owing to budget constraints, event got merged with another celebration.
note: venue is no longer available.",2024-06-24t14:07:25.040622,2024-05-17t10:00:25.040622,2,decorations were late and poorly done. not worth the money.
1001,birthday,package10128,"n,o",friends,indoor,908,10104,10004,cancelled,2023-09-13t09:52:25.040622,mumbai,2024-08-03t03:29:25.040622,2025-04-19t17:28:25.040622,4,90498,no,"event got postponed, event got merged with another celebration.",2024-09-13t04:10:25.040622,2023-08-16t22:07:25.040622,5,worst experience ever. regret booking with them.
1002,wedding,no,"service10176,service10143,service10114,service10085,service10129,service10079,service10118,service10113",friends,indoor,799,10139,10200,pending,2023-07-22t10:44:25.040622,hyderabad,2024-05-24t22:09:25.040622,2024-11-01t09:26:25.040622,9,80469,no,"due to unexpected personal commitments, we will reach out when ready to rebook.
note: unexpected family issues.",2023-06-20t02:16:25.040622,2024-07-05t08:14:25.040622,5,the event was delayed by hours. complete chaos.
1003,birthday,package10043,"n,o",friends,indoor,232,10085,10038,cancelled,2025-01-09t22:24:25.040622,hyderabad,2023-08-21t21:25:25.040622,2025-01-21t11:54:25.040622,5,88310,"['nothing extraordinary, but not bad either. guests were satisfied.']","venue is no longer available, we will reach out when ready to rebook.
note: unexpected family issues.",2025-05-13t12:21:25.040622,2024-02-14t04:05:25.040622,1,venue was clean and beautifully decorated. superb experience overall.
1004,wedding,package10154,"n,o",family,indoor,542,10136,10169,pending,2024-04-20t12:16:25.040622,mumbai,2023-08-04t17:27:25.040622,2024-05-01t16:33:25.040622,1,36163,['very disappointing service. nothing went as planned.'],"we had to move the event location, the guest list drastically changed.
note: as travel plans have changed.",2024-09-07t03:57:25.040622,2024-09-06t09:01:25.040622,3,ambience was neutral. just okay vibes.
1005,birthday,no,"service10181,service10150,service10147,service10101,service10184,service10187",family,indoor,303,10137,10185,cancelled,2024-07-11t05:21:25.040622,hyderabad,2024-06-17t11:00:25.040622,2024-11-14t13:34:25.040622,3,67701,no,"we had to move the event location, we will reach out when ready to rebook.
note: venue is no longer available.",2024-03-23t00:39:25.040622,2024-03-04t02:11:25.040622,4,"nothing extraordinary, but not bad either. guests were satisfied."
1006,birthday,no,service10097,youthful,indoor,361,10043,10044,pending,2025-01-20t07:44:25.040622,mumbai,2025-03-06t04:03:25.040622,2024-07-24t11:53:25.040622,7,83389,['the event was well organized. food and music were amazing!'],"weather conditions are not favorable, a reschedule might happen later.",2024-05-23t19:32:25.040622,2024-03-29t13:22:25.040622,1,"a regular experience. not too impressed, not too upset."
1007,wedding,no,service10180,friends,outdoor,978,10147,10183,cancelled,2024-04-05t07:51:25.040622,hyderabad,2023-11-11t04:19:25.040622,2024-10-03t23:53:25.040622,5,75724,['unprofessional staff. would not recommend to anyone.'],"due to unexpected personal commitments, event got merged with another celebration.
note: due to scheduling conflicts.",2023-10-19t10:06:25.040622,2025-04-18t23:34:25.040622,3,lighting was a bit dim. still a good evening overall.
1008,wedding,no,"service10085,service10129,service10075,service10199,service10078,service10121",friends,outdoor,173,10198,10025,booked,2024-03-14t22:09:25.041623,mumbai,2024-08-14t05:35:25.041623,2023-07-13t12:06:25.041623,6,32232,no,"as travel plans have changed, we are no longer able to proceed with the booking.",2024-04-08t12:23:25.041623,2024-04-21t16:15:25.041623,4,"nothing extraordinary, but not bad either. guests were satisfied."
1009,wedding,no,"service10129,service10015,service10181,service10024,service10195,service10100,service10193,service10084",family,outdoor,327,10147,10148,booked,2023-07-18t13:36:25.041623,hyderabad,2025-01-19t07:49:25.041623,2024-07-25t14:27:25.041623,8,34986,no,"venue is no longer available, a reschedule might happen later.",2024-05-08t10:45:25.041623,2025-02-15t16:23:25.041623,5,unprofessional staff. would not recommend to anyone.
1010,birthday,no,"service10167,service10199,service10074,service10105,service10039",friends,indoor,176,10112,10025,pending,2024-01-29t20:15:25.041623,delhi,2024-07-17t15:25:25.041623,2023-12-03t10:38:25.041623,10,35955,['decorations were late and poorly done. not worth the money.'],"because of a medical emergency, the guest list drastically changed.
note: as travel plans have changed.",2023-11-15t17:56:25.041623,2024-08-28t21:15:25.041623,4,basic expectations met. but lacked a wow factor.
1011,wedding,package10066,"n,o",family,indoor,451,10136,10049,cancelled,2025-01-02t17:11:25.041623,mumbai,2024-06-02t11:36:25.041623,2023-11-18t05:01:25.041623,7,38969,no,"as travel plans have changed, a new organizer has taken over planning.
note: due to scheduling conflicts.",2025-03-30t10:16:25.041623,2024-05-16t04:01:25.041623,1,overpriced for such poor execution. utterly dissatisfied.
1012,wedding,package10166,"n,o",youthful,indoor,899,10066,10007,completed,2024-11-01t01:09:25.041623,delhi,2024-12-17t06:00:25.041623,2024-07-04t09:39:25.041623,9,73912,['the event was well organized. food and music were amazing!'],"owing to budget constraints, we need to cancel the event arrangements.
note: event got postponed.",2025-04-21t18:18:25.041623,2024-03-25t03:33:25.041623,5,basic expectations met. but lacked a wow factor.
1013,birthday,no,"service10120,service10097",youthful,indoor,715,10135,10059,cancelled,2024-02-01t22:08:25.041623,hyderabad,2025-06-03t04:45:25.041623,2024-07-11t02:55:25.041623,9,71658,['highly satisfied with the service. would definitely book again.'],"venue is no longer available, we will reach out when ready to rebook.
note: as travel plans have changed.",2023-10-29t05:26:25.041623,2024-11-09t11:51:25.041623,2,everything was just perfect! the decorations exceeded expectations.
1014,wedding,package10094,"n,o",friends,indoor,924,10080,10059,cancelled,2025-01-22t23:51:25.041623,hyderabad,2023-07-08t18:27:25.041623,2024-12-29t23:48:25.041623,10,52945,['everything was just perfect! the decorations exceeded expectations.'],"event got postponed, a new organizer has taken over planning.
note: owing to budget constraints.",2023-11-09t07:48:25.041623,2025-03-30t16:10:25.041623,1,it was an okay event. some things could have been better.
1015,birthday,no,"service10092,service10133,service10166,service10095,service10195,service10113,service10101,service10014,service10062",youthful,outdoor,609,10075,10169,booked,2023-12-29t12:48:25.041623,delhi,2024-12-19t11:58:25.041623,2025-01-04t01:18:25.041623,10,59476,"['a regular experience. not too impressed, not too upset.']","venue is no longer available, event got merged with another celebration.",2023-06-23t09:21:25.041623,2023-09-21t19:28:25.041623,4,"a regular experience. not too impressed, not too upset."
1016,wedding,no,"service10131,service10031,service10083,service10139,service10013",youthful,outdoor,79,10099,10059,pending,2024-05-05t22:06:25.041623,hyderabad,2024-11-15t04:08:25.041623,2024-12-07t06:54:25.041623,1,70893,['it was an okay event. some things could have been better.'],"because of a medical emergency, we are no longer able to proceed with the booking.
note: we had to move the event location.",2023-06-23t08:31:25.041623,2024-06-08t08:25:25.041623,3,decorations were decent. could have been more colorful.
1017,wedding,package10043,"n,o",family,outdoor,264,10161,10020,completed,2025-01-09t18:50:25.041623,delhi,2024-06-08t00:15:25.041623,2024-10-05t05:15:25.041623,1,30448,"['nothing extraordinary, but not bad either. guests were satisfied.']","due to scheduling conflicts, we have to pause all related activities for now.
note: venue is no longer available.",2024-10-14t13:53:25.041623,2023-09-01t05:10:25.042623,4,lighting failed mid-event. embarrassing situation.
1018,birthday,no,"service10167,service10079,service10068,service10142,service10119,service10061,service10160",youthful,indoor,196,10092,10077,cancelled,2024-10-24t20:38:25.042623,mumbai,2024-06-18t09:52:25.042623,2024-05-23t20:11:25.042623,6,19480,['decorations were decent. could have been more colorful.'],"unexpected family issues, details are being re-evaluated by stakeholders.",2023-06-15t06:29:25.042623,2023-11-24t11:49:25.042623,5,music could have been better. rest was fine.
1019,birthday,package10066,"n,o",family,outdoor,100,10052,10004,completed,2023-09-15t20:27:25.042623,mumbai,2025-02-06t20:11:25.042623,2024-11-06t08:58:25.042623,1,68933,['everything was just perfect! the decorations exceeded expectations.'],"we had to move the event location, we need to cancel the event arrangements.
note: owing to budget constraints.",2024-02-07t02:11:25.042623,2025-03-01t13:41:25.042623,4,lighting failed mid-event. embarrassing situation.
